LENSEGUA,ESPAÑOL
abuela 70 años tener,Mi abuela tiene 70 años.
abuelo 70 años tener,Mi abuelo tiene 70 años.
abuelo enfermo mucho,Mi abuelo está muy enfermo.
aeropuerto dónde pregunta,¿Dónde está el aeropuerto?
aeropuerto yo ir cuál pregunta,¿A cuál aeropuerto tengo que ir?
ahora tu libro leer cuál pregunta,¿Cuál libro estás leyendo ahora?
alegre señas aprender y hacer,Es alegre aprender y hacer señas.
amiga desaparecer tu información compartir,Mi amiga desapareció. Comparte la información.
anillo precio cuánto pregunta,¿Cuánto cuesta el anillo?
año pasado ella carro aprender,Ella aprendió a manejar el año pasado.
antes banco tu ir dinero quitar,Fuiste al banco para retirar dinero.
antes biblioteca tu ir para estudiar,Fuiste a la biblioteca para estudiar.
antes cine yo querer ir pero cerrado,Quería ir al cine pero estaba cerrado.
antes escuela tu profesora ver pregunta,¿Viste a la profesora en la escuela?
antes farmacia tu ir para pastillas comprar,Fuiste a la farmacia para comprar pastillas.
antes grande ahora pequeño,Antes era grande ahora es pequeño.
antes hoy piscina tu ir pregunta,¿Fuiste a la piscina hoy?
antes hoy tu almorzar qué pregunta,¿Qué almorzaste hoy?
antes museo tu ir pregunta,¿Fuiste al museo?
antes playa tu ir pregunta,¿Fuiste a la playa?
antes tu abuela ver pregunta,¿Viste a tu abuela?
antes tu abuelo ver pregunta,¿Viste a tu abuelo?
antes tu bombera llamar pregunta,¿Llamaste a la bombera?
antes tu bombero llamar pregunta,¿Llamaste al bombero?
antes tu comer qué pregunta,¿Qué comiste?
antes tu estar enojado pregunta,¿Estabas enojado?
antes tu estar ocupado pregunta,¿Estabas ocupado?
antes tu plantas agua pregunta,¿Regaste las plantas?
antes yo amigo llamar para invitar,Llamé a mi amigo para invitarlo.
antes yo amigo llamar pero contestar no,Llamé a mi amigo pero no contestó.
antes yo café tomar para despertar,Tomé café para despertarme.
antes yo doctor llamar para cita pedir,Llamé al doctor para pedir una cita.
antes yo dormir poco para descansar,Tomé una siesta para descansar.
antes yo feliz pero luego triste,Estaba feliz pero luego me entristecí.
antes yo jefe llamar para saludar,Llamé a mi jefe para saludarlo.
antes yo llamar tu porque emergencia tener,Te llamé porque tenía una emergencia.
antes yo llamar tu porque yo necesitar hablar tu,Te llamé porque necesitaba hablar contigo.
antes yo mamá llamar para saludar,Llamé a mi mamá para saludarla.
antes yo papá llamar para saludar,Llamé a mi papá para saludarlo.
