ESPAÑOL,RESPUESTA,MAX_LENGTH,LEVENSHTEIN_DISTANCE,PERCENTAGE_DIFFERENCE
Hoy los estudiantes están muy ocupados.,Hoy los estudiantes están muy ocupados.,39,0,0.0
¿Dónde trabajas?,¿Dónde trabajas?,16,0,0.0
Espero que hoy no haya tráfico.,Espero que hoy no haya mucho tráfico.,37,6,16.216216216216218
Hay tráfico.,Había muchas carros.,20,14,70.0
Llegué tarde porque había tráfico.,Llegué tarde porque había mucho tráfico.,40,6,15.0
Fui temprano para evitar el tráfico.,Fui temprano al carro para evitar mucho.,40,17,42.5
¿Tienes una emergencia?,¿Tienes emergencia?,23,4,17.391304347826086
Mi mamá cocina muy bien.,Mi mamá cocina muy bien.,24,0,0.0
Mi hija toca el piano muy bien.,Mi hija toca muy bien el piano.,31,12,38.70967741935484
La tienda vende pan.,La tienda vende pan.,20,0,0.0
Ayer el mercado abrió temprano.,El mercado abrió temprano.,31,6,19.35483870967742
No asistí a la reunión.,No asistí a la reunión.,23,0,0.0
¿Cuándo llega el profesor?,¿Cuándo llegará el profesor?,28,2,7.142857142857142
En la playa había muchos turistas.,Había muchos turistas en la playa.,34,25,73.52941176470588
El maestro me regañó.,El maestro me regañó.,21,0,0.0
Ayer dormí en un hotel.,Dormí en un hotel ayer.,23,11,47.82608695652174
No uses el teléfono en clase.,No uses tu teléfono en clase.,29,2,6.896551724137931
¿En cuál universidad estudias?,¿En qué universidad estás estudiando?,37,12,32.432432432432435
Quería ir pero estaba ocupado.,Quería ir pero estaba ocupado.,30,0,0.0
Encendí la luz.,Yo encendí la luz.,18,4,22.22222222222222
¿Cómo funciona la estufa?,¿Cómo funciona la estufa?,25,0,0.0
Él toca la guitarra muy bien.,Él toca la guitarra muy bien.,29,0,0.0
Ve al supermercado y compra leche.,Fuiste al supermercado y compraste leche.,41,8,19.51219512195122
¿Me prestas dinero?,¿Me prestas dinero?,19,0,0.0
Espero que no hay ningún problema.,Ojalá no haya problema.,34,17,50.0
¿Es tuya la muñeca?,¿Tu muñeca pregunta?,20,13,65.0
¿Fuiste ayer al museo?,¿Fuiste al museo ayer?,22,10,45.45454545454545
La tienda vende zapatos,La tienda venderá zapatos.,26,3,11.538461538461538
Hoy ella se siente bien.,Ella se siente bien hoy.,24,9,37.5
¿Cuál es tu opinión?,¿Cuál es tu opinión?,20,0,0.0
¿No te gusta la ensalada?,¿Te gusta la ensalada?,25,4,16.0
Lávate las manos antes de comer.,Lavas tus manos antes de comer.,32,5,15.625
Yo estoy bien.,Estoy bien.,14,4,28.57142857142857
Espero que disfrutes tus vacaciones.,Ojalá disfrutes tus vacaciones.,36,10,27.77777777777778
¿Quién es tu amiga?,¿Tu amiga pregunta quién?,25,16,64.0
