ESPAÑOL,RESPUESTA,MAX_LENGTH,LEVENSHTEIN_DISTANCE,PERCENTAGE_DIFFERENCE
Hoy los estudiantes están muy ocupados.,Hoy los estudiantes están muy ocupados.,39,0,0.0
¿Dónde trabajas?,Trabajas dónde.,16,15,93.75
Espero que hoy no haya tráfico.,Espero que hoy no haya mucho tráfico.,37,6,16.216216216216218
Hay tráfico.,Hay mucho tráfico.,18,6,33.33333333333333
Llegué tarde porque había tráfico.,Llegué tarde porque había mucho tráfico.,40,6,15.0
Fui temprano para evitar el tráfico.,Ayer fui temprano para evitar el tráfico.,41,6,14.634146341463413
¿Tienes una emergencia?,¿Tienes una emergencia?,23,0,0.0
Mi mamá cocina muy bien.,Mi mamá cocina muy bien.,24,0,0.0
Mi hija toca el piano muy bien.,Mi hija toca muy bien el piano.,31,12,38.70967741935484
La tienda vende pan.,La tienda vende pan.,20,0,0.0
Ayer el mercado abrió temprano.,Ayer el mercado abrió temprano.,31,0,0.0
No asistí a la reunión.,Yo no asistí a la reunión.,26,4,15.384615384615385
¿Cuándo llega el profesor?,El profesor llega cuando pregunta.,34,23,67.64705882352942
En la playa había muchos turistas.,Había muchos turistas en la playa.,34,25,73.52941176470588
El maestro me regañó.,El maestro me regañó.,21,0,0.0
Ayer dormí en un hotel.,Ayer yo dormí en el hotel.,26,5,19.230769230769234
No uses el teléfono en clase.,No uses tu teléfono en clase.,29,2,6.896551724137931
¿En cuál universidad estudias?,¿En cuál universidad estudias?,30,0,0.0
Quería ir pero estaba ocupado.,Yo quería ir pero estaba ocupado.,33,4,12.121212121212121
Encendí la luz.,Antes encendía la luz.,22,8,36.36363636363637
¿Cómo funciona la estufa?,La estufa ¿cómo funciona?,25,21,84.0
Él toca la guitarra muy bien.,Él toca la guitarra muy bien.,29,0,0.0
Ve al supermercado y compra leche.,Fuiste al supermercado a comprar leche.,39,7,17.94871794871795
¿Me prestas dinero?,Yo te presto dinero.,20,7,35.0
Espero que no hay ningún problema.,Ojalá no haya problema.,34,17,50.0
¿Es tuya la muñeca?,Tu muñeca pregunta.,19,15,78.94736842105263
¿Fuiste ayer al museo?,Ayer fuiste al museo.,22,12,54.54545454545454
La tienda vende zapatos,La tienda vende zapatos.,24,1,4.166666666666666
Hoy ella se siente bien.,Hoy ella se siente muy bien.,28,4,14.285714285714285
¿Cuál es tu opinión?,Mi opinión sobre cuál pregunta es que depende del contexto en el que se esté hablando.,86,74,86.04651162790698
¿No te gusta la ensalada?,No me gusta la ensalada.,25,3,12.0
Lávate las manos antes de comer.,Debes lavar tus manos antes de comer.,37,12,32.432432432432435
Yo estoy bien.,Estoy muy bien.,15,8,53.333333333333336
Espero que disfrutes tus vacaciones.,Espero que disfrutes tus vacaciones.,36,0,0.0
¿Quién es tu amiga?,Tu amiga está preguntando.,26,19,73.07692307692307
¿Tu hermana tiene hijos?,Tu hermana tiene hijos.,24,2,8.333333333333332
No fui.,Yo no fui.,10,4,40.0
Ayer fui al hospital.,Ayer fui al hospital.,21,0,0.0
Mi madre crompró fruta en el supermercado.,La madre fue al supermercado a comprar fruta.,45,32,71.11111111111111
Sigue las reglas.,Debes seguir las reglas.,24,10,41.66666666666667
Espero que la policía venga pronto.,Esperemos que la policía llegue pronto.,39,8,20.51282051282051
¿Estás cansado?,Estás cansado.,15,2,13.333333333333334
Mañana iré a la feria.,Mañana yo iré a la feria.,25,3,12.0
¿Qué haces?,¿Qué pregunta estás haciendo?,29,19,65.51724137931035
¿Viste a tu amigo?,Viste a tu amigo.,18,2,11.11111111111111
¿Viste al médico?,Fuiste a ver al médico.,23,9,39.130434782608695
Ayer fuiste a la clínica.,Ayer fui a la clínica.,25,3,12.0
Él estudia medicina.,Él estudia medicina.,20,0,0.0
Lee una revista mientras esperas.,Lee la revista mientras esperas.,33,2,6.0606060606060606
¿A qué hora comienza la clase?,La hora de empezar la clase.,30,14,46.666666666666664
¿Ya entregaste tu tarea?,Tu tarea es entregarla ya.,26,19,73.07692307692307
Mañana iré al supermercado.,Mañana yo voy al supermercado.,30,6,20.0
A ella no le gusta la lluvia.,A ella no le gusta la lluvia.,29,0,0.0
¿Qué cocinas?,¿Qué estás cocinando?,21,9,42.857142857142854
Él cocinó el desayuno.,Él cocinó el desayuno.,22,0,0.0
¿Cuál deporte practicas?,Mi deporte practicar cuál.,26,12,46.15384615384615
¿Viste a tu amiga en la florería?,Tu amiga vio una florería.,33,16,48.484848484848484
A ella no le gusta el calor.,A ella no le gusta el calor.,28,0,0.0
Cocinaremos la cena.,Nosotros cocinaremos la cena.,29,10,34.48275862068966
Mi hijo es sordo y yo soy oyente.,Mi hijo es sordo y yo soy oyente.,33,0,0.0
¿Es tuya la casa?,¿Puedo ir a tu casa?,20,10,50.0
¿Hay fiesta hoy?,Hoy hay fiesta.,16,10,62.5
La biblioteca cierra a medianoche.,La biblioteca cierra a medianoche.,34,0,0.0
¿Dónde estudias?,Tú preguntas dónde estudiar.,28,16,57.14285714285714
No encuentro mis lentes.,No encontré mis lentes.,24,3,12.5
Revisa tus notas antes del examen.,Debes revisar tus notas antes del examen.,41,8,19.51219512195122
No me gusta el fútbol.,No me gusta el fútbol.,22,0,0.0
¿Cómo se llama tu novio?,Tu novio se llama ¿?,24,15,62.5
El colegio está cerca del hospital.,El colegio está cerca del hospital.,35,0,0.0
Ayer él fue al hospital.,Ayer él fue al hospital.,24,0,0.0
¿Dónde está mi libro?,Mi libro está en dónde.,23,16,69.56521739130434
Me gusta viajar pero me da miedo volar.,Me gusta viajar pero tengo miedo de volar.,42,7,16.666666666666664
Quiero tener más tiempo libre.,Quiero tener más tiempo libre.,30,0,0.0
¿Cuánto cuesta la entrada?,¿Cuánto es el precio de la entrada?,35,14,40.0
Mi hermano es muy inteligente.,Mi hermano es muy inteligente.,30,0,0.0
¿Tomaste agua hoy?,Hoy ¿vas a tomar agua?,22,16,72.72727272727273
Ayer ella preparó la comida.,Ayer ella preparó la comida.,28,0,0.0
No sé nadar.,Yo no sé nadar.,15,4,26.666666666666668
Mañana veremos una película en el cine.,Mañana nosotros vamos a ver una película al cine.,49,20,40.816326530612244
Fuiste al mercado para comprar frutas.,Fuiste al mercado para comprar frutas.,38,0,0.0
Fui al médico pero no me ayudó.,Fui al médico pero él no me ayudó.,34,3,8.823529411764707
¿El carro ya llegó?,El carro ya llegó.,19,2,10.526315789473683
No podré asistir a la reunión.,Yo no podré asistir a la reunión en futuro.,43,14,32.55813953488372
¿Cómo se llama tu perro?,El nombre de tu perro.,24,13,54.166666666666664
No me gusta levantarme temprano.,Me gusta levantarme temprano.,32,4,12.5
¿Cómo se llama el restaurante?,El nombre del restaurante.,30,14,46.666666666666664
Voy a la clínica.,Tengo que ir a la clínica.,26,11,42.30769230769231
¿Te gusta el parque?,Te gusta el parque.,20,2,10.0
¿Hoy qué almorzaste?,¿Qué pregunta sobre tu almuerzo antes de hoy?,45,32,71.11111111111111
El juego es muy divertido.,Disfruto mucho del juego.,26,20,76.92307692307693
¿Encontraste el cuaderno?,Encuentras tú el cuaderno.,26,6,23.076923076923077
¿Estás cerca la panadería?,La panadería está cerca ¿cuál es tu pregunta?,45,31,68.88888888888889
Quiero cantar pero no puedo.,Yo quiero cantar pero no puedo.,31,4,12.903225806451612
Haz una lista para no olvidar nada.,Debes hacer tu lista para no olvidar nada.,42,13,30.952380952380953
Después de comer lavo los platos.,Después de comer yo lavo los platos.,36,3,8.333333333333332
¿Cómo estuvo tu comida?,Tu comida está cómo.,23,18,78.26086956521739
Quería ir al cine pero había tráfico.,Ayer quise ir al cine pero había mucho tráfico.,47,14,29.78723404255319
Hoy el cine está cerrado.,Hoy el cine está cerrado.,25,0,0.0
Ayer me llamó mi abuelo.,Ayer mi abuelo me llamó.,24,14,58.333333333333336
Espero que encuentres tu teléfono.,Espero que encuentres tu teléfono.,34,0,0.0
No escucho música porque soy sordo.,No escucho música porque soy sordo.,35,0,0.0
No salí porque tenía miedo.,No salí porque tenía miedo.,27,0,0.0
Los domingos María recibe clases de canto.,María recibe clases de canto los domingos.,42,26,61.904761904761905
Cuando sea verano iré a la playa.,Cuando sea verano iré a la playa.,33,0,0.0
¿Te sientes bien?,Te sientes bien.,17,2,11.76470588235294
Cocinamos la cena.,Nosotros cenamos cocinado.,26,15,57.692307692307686
Es importante saber matemáticas.,Es importante saber matemáticas.,32,0,0.0
Me gusta la comida guatemalteca.,Me gusta la comida guatemalteca.,32,0,0.0
Mi abuelo vendrá pronto.,El abuelo vendrá pronto.,24,2,8.333333333333332
No hice la tarea porque se me olvidó.,No hice la tarea porque la olvidé.,37,6,16.216216216216218
Harás la tarea.,Vas a hacer tu tarea.,21,11,52.38095238095239
El estudiante hizo la tarea.,El estudiante hizo la tarea.,28,0,0.0
Todos los días ella practica yoga.,Ella practica yoga todos los días.,34,29,85.29411764705883
Eres buen doctor pero no eres amable.,Eres muy amable doctor.,37,25,67.56756756756756
El jefe está enojado.,El jefe está enojado.,21,0,0.0
¿Llamaste a los bomberos?,Antes de llamar a los bomberos pregunta.,40,23,57.49999999999999
Habla despacio por favor.,Habla despacio por favor.,25,0,0.0
¿Tu padre trabaja?,Tu padre trabaja.,18,2,11.11111111111111
El gobierno no nos apoya.,El Gobierno no nos apoya.,25,1,4.0
Me mudé.,Yo cambié de casa.,18,14,77.77777777777779
No dormí bien porque había mucho ruido.,Anoche no pude dormir bien porque había mucho ruido.,52,15,28.846153846153843
¿Qué vas a hacer esta tarde?,Hoy tarde hiciste qué pregunta.,31,25,80.64516129032258
No conozco a esa persona.,No conozco a esa persona.,25,0,0.0
¿Dónde naciste?,¿Dónde naciste?,15,0,0.0
No comí porque no tenía hambre.,No comí porque no tenía hambre.,31,0,0.0
¿A qué hora sales del trabajo?,Tu pregunta sobre la hora de tu salida del trabajo.,51,28,54.90196078431373
No me siento bien hoy.,Hoy me siento muy bien.,23,10,43.47826086956522
¿Te sientes bien?,Te sientes bien sí o no.,24,10,41.66666666666667
Llamé a mi jefe.,Yo llamé al jefe.,17,7,41.17647058823529
Ayer se perdió mi serpiente.,Ayer perdí mi serpiente.,28,5,17.857142857142858
Mañana tengo una cita.,Mañana tengo una cita.,22,0,0.0
